Player,Blocks
James Tarkowski,19
Lewis Dunk,16
Michael Keane,14
Liam Cooper,13
Harry Maguire,13
Eric Dier,12
Grant Hanley,12
Tyrone Mings,12
Thiago Silva,11
Gabriel Magalhães,11
Ezri Konsa,11
Jamaal Lascelles,11
Shane Duffy,10
William Troost-Ekong,10
Ciaran Clark,9
Conor Coady,9
Rúben Dias,9
Rob Holding,9
Declan Rice,9
Cristian Romero,9
Mohammed Salisu,9
Kurt Zouma,9
Craig Cathcart,8
Craig Dawson,8
Federico Fernández,8
Matthew Lowton,8
Ben Mee,8
Andrew Omobamidele,8
Çaglar Söyüncü,8
Charlie Taylor,8
Youri Tielemans,8
Virgil van Dijk,8
Luke Ayling,7
Ben Godfrey,7
Isaac Hayden,7
James McArthur,7
Dwight McNeil,7
Benjamin White,7
Max Aarons,6
Ben Gibson,6
Marc Guéhi,6
Ozan Kabak,6
Juraj Kucka,6
Romain Saïss,6
Albert Sambi Lokonga,6
Davinson Sánchez,6
Oliver Skipp,6
Jannik Vestergaard,6
Dele Alli,5
Jan Bednarek,5
Aaron Cresswell,5
Lucas Digne,5
Jonny Evans,5
Cheikhou Kouyaté,5
Sean Longstaff,5
Javier Manquillo,5
Joel Matip,5
Sergio Reguilón,5
Danny Rose,5
Luke Shaw,5
Pascal Struijk,5
Aaron Wan-Bissaka,5
Joel Ward,5
Joachim Andersen,4
Andreas Christensen,4
Jorginho,4
Kortney Hause,4
Rico Henry,4
Mason Holgate,4
Pierre-Emile Højbjerg,4
Pontus Jansson,4
Maximilian Kilman,4
Pierre Lees-Melou,4
Victor Lindelöf,4
Valentino Livramento,4
Diego Llorente,4
Pablo Marí,4
Allan,4
Yerry Mina,4
Mathias Normann,4
Angelo Ogbonna,4
Ethan Pinnock,4
Jamie Shackleton,4
Moussa Sissoko,4
Jack Stephens,4
Matt Targett,4
Axel Tuanzebe,4
Kyle Walker,4
James Ward-Prowse,4
Adam Webster,4
Chris Wood,4
Kristoffer Ajer,3
Nathan Aké,3
Daniel Amartey,3
César Azpilicueta,3
Christian Benteke,3
Ryan Bertrand,3
Josh Brownhill,3
Trevoh Chalobah,3
Calum Chambers,3
Tom Cleverley,3
Stuart Dallas,3
Kiko Femenía,3
Conor Gallagher,3
Christian Kabasele,3
Adam Lallana,3
Kalvin Phillips,3
Fred,3
Oriol Romeu,3
Douglas Luiz,3
Japhet Tanganga,3
Joël Veltman,3
Trent Alexander-Arnold,2
Cédric Soares,2
Patrick Bamford,2
Jarrod Bowen,2
Nélson Semedo,2
Matthew Cash,2
Timothy Castagne,2
Séamus Coleman,2
Nathan Collins,2
Vladimir Coufal,2
Richarlison,2
Kevin De Bruyne,2
Dimitris Giannoulis,2
Jóhann Gudmundsson,2
Rodri,2
Ibrahima Konaté,2
Mateo Kovacic,2
Emil Krafth,2
Aymeric Laporte,2
Ruben Loftus-Cheek,2
Adam Masina,2
Bryan Mbeumo,2
Kenny McLean,2
Scott McTominay,2
James Milner,2
Tyrick Mitchell,2
Wilfred Ndidi,2
Christian Nørgaard,2
Jacob Ramsey,2
Andrew Robertson,2
Antonio Rüdiger,2
João Moutinho,2
Lyanco,2
Diogo Jota,2
Luke Thomas,2
Kieran Tierney,2
Raphaël Varane,2
Ashley Westwood,2
Brandon Williams,2
Che Adams,1
Miguel Almirón,1
Joelinton,1
Adam Armstrong,1
Pierre-Emerick Aubameyang,1
Jordan Ayew,1
Leon Bailey,1
Ricardo Pereira,1
Harvey Barnes,1
Ashley Barnes,1
Dan Burn,1
Dominic Calvert-Lewin,1
Sergi Canós,1
Maxwel Cornet,1
Charlie Cresswell,1
Marc Cucurella,1
Rúben Neves,1
Leander Dendoncker,1
Emmanuel Dennis,1
Kiernan Dewsbury-Hall,1
Moussa Djenepo,1
Abdoulaye Doucouré,1
Kieran Dowell,1
Odsonne Édouard,1
Peter Etebo,1
Pablo Fornals,1
Jack Grealish,1
Ilkay Gündogan,1
Danny Ings,1
Alex Iwobi,1
Vitaly Janelt,1
Mathias Jensen,1
Ben Johnson,1
Zanka,1
Harry Kane,1
N'Golo Kanté,1
Naby Keïta,1
Joshua King,1
Emerson Royal,1
Aaron Lennon,1
Ademola Lookman,1
Romelu Lukaku,1
Alexis Mac Allister,1
Trincão,1
Marçal,1
Jean-Philippe Mateta,1
Nemanja Matic,1
John McGinn,1
Enock Mwepu,1
Marvelous Nakamba,1
Saúl Ñíguez,1
Nicolas Nkoulou,1
Frank Onyeka,1
Erik Pieters,1
Milot Rashica,1
Matt Ritchie,1
Joe Rodon,1
Lukas Rupp,1
Allan Saint-Maximin,1
Malang Sarr,1
Ismaila Sarr,1
Fabian Schär,1
Jonjo Shelvey,1
Son Heung-Min,1
Fabinho,1
Takehiro Tomiyasu,1
Andros Townsend,1
Konstantinos Tsimikas,1
Nuno Tavares,1
Matej Vydra,1
Kyle Walker-Peters,1
Ollie Watkins,1
Joseph Willock,1
Granit Xhaka,1
Ashley Young,1
Martin Ødegaard,1
Marc Albrighton,0
Marcos Alonso,0
Junior Firpo,0
Billy Gilmour,0
Cucho Hernández,0
Reece James,0
Raúl Jiménez,0
Solly March,0
Rodrigo,0
Jeremy Ngakia,0
Alex Oxlade-Chamberlain,0
Thomas Partey,0
Romain Perraud,0
Jay Rodriguez,0
Jadon Sancho,0
Tomas Soucek,0