Player,Crosses
Matt Ritchie,83
Trent Alexander-Arnold,78
James Ward-Prowse,75
Aaron Cresswell,65
Dwight McNeil,65
Luke Shaw,65
Pascal Groß,62
Son Heung-Min,62
Lucas Digne,60
Andros Townsend,60
Raphinha,59
Jarrod Bowen,52
Ashley Westwood,52
Sergi Canós,51
Milot Rashica,50
Bruno Fernandes,47
Andrew Robertson,47
Phil Foden,45
Conor Gallagher,44
Ismaila Sarr,43
Matt Targett,43
Marcos Alonso,41
Vladimir Coufal,39
Mathias Jensen,39
Charlie Taylor,39
Konstantinos Tsimikas,38
João Cancelo,37
Stuart Dallas,37
John McGinn,37
Nicolas Pépé,35
Ilkay Gündogan,34
Sergio Reguilón,34
Demarai Gray,33
Marçal,33
Youri Tielemans,33
Jack Harrison,32
Matthew Lowton,32
João Moutinho,32
Kevin De Bruyne,31
Nathan Redmond,31
Kieran Tierney,31
Saïd Benrahma,30
Matthew Cash,29
Jóhann Gudmundsson,29
Valentino Livramento,29
Reece James,27
Adama Traoré,27
Emiliano Buendía,26
Ben Chilwell,26
Marc Cucurella,26
Mason Mount,26
Bukayo Saka,26
Daniel James,25
James Milner,25
Mason Greenwood,24
Rico Henry,24
Pablo Fornals,23
Douglas Luiz,23
Aaron Wan-Bissaka,23
Cucho Hernández,22
Bernardo Silva,22
Tom Cleverley,21
Emerson Royal,21
Joël Veltman,21
Leon Bailey,20
Sadio Mané,20
Allan Saint-Maximin,20
Emile Smith Rowe,20
Marc Albrighton,19
Jordan Henderson,19
Solly March,19
Luka Milivojevic,19
Romain Perraud,19
Leandro Trossard,19
Max Aarons,18
Michail Antonio,18
Harvey Barnes,18
Gabriel Jesus,18
Dimitris Giannoulis,18
Riyad Mahrez,18
Bryan Mbeumo,18
Jacob Murphy,18
Mathias Normann,18
Mohamed Salah,18
Joel Ward,18
Jordan Ayew,17
Rúben Neves,17
Jack Grealish,17
Kyle Walker-Peters,17
César Azpilicueta,16
Séamus Coleman,16
Adam Masina,16
Tyrick Mitchell,16
Rodrigo,16
Danny Rose,15
Wilfried Zaha,15
Callum Hudson-Odoi,14
James Maddison,14
Jacob Ramsey,14
Rayan Aït-Nouri,13
Josh Brownhill,13
Anwar El Ghazi,13
Tariq Lamptey,13
Pierre Lees-Melou,13
James McArthur,13
Nuno Tavares,13
Miguel Almirón,12
Ryan Bertrand,12
Nélson Semedo,12
Mohamed Elyounoussi,12
Billy Gilmour,12
Michael Olise,12
Kieran Dowell,11
Luke Thomas,11
Adam Armstrong,10
Diogo Dalot,10
Vitaly Janelt,10
Giovani Lo Celso,10
Trincão,10
Ethan Pinnock,10
Takehiro Tomiyasu,10
Timo Werner,10
Pierre-Emerick Aubameyang,9
Timothy Castagne,9
Emmanuel Dennis,9
Ben Johnson,9
Mateusz Klich,9
Ademola Lookman,9
Benjamin Mendy,9
Frank Onyeka,9
Tyler Roberts,9
Japhet Tanganga,9
Kyle Walker,9
Ashley Young,9
Luke Ayling,8
Harvey Elliott,8
Junior Firpo,8
Anthony Gordon,8
Isaac Hayden,8
Danny Ings,8
Kenny McLean,8
Kalvin Phillips,8
Paul Pogba,8
Hakim Ziyech,8
Martin Ødegaard,8
Ricardo Pereira,7
Daniel Podence,7
Richarlison,7
Kiko Femenía,7
Juraj Kucka,7
Jeremy Ngakia,7
Lucas Moura,7
Ken Sema,7
Jonjo Shelvey,7
Ivan Toney,7
Ozan Tufan,7
Jamie Vardy,7
Ollie Watkins,7
Joelinton,6
Ryan Fraser,6
Saman Ghoddos,6
Pierre-Emile Højbjerg,6
Alex Iwobi,6
Zanka,6
Harry Kane,6
Sean Longstaff,6
Declan Rice,6
Oriol Romeu,6
Moussa Sissoko,6
Kristoffer Ajer,5
Ross Barkley,5
Maxwel Cornet,5
Moussa Djenepo,5
Ben Godfrey,5
Javier Manquillo,5
Allan,5
Scott McTominay,5
Jakub Moder,5
Antonio Rüdiger,5
Jadon Sancho,5
Christos Tzolis,5
Roberto Firmino,4
Steven Bergwijn,4
Ben Davies,4
Cristiano Ronaldo,4
N'Golo Kanté,4
Romelu Lukaku,4
Alexis Mac Allister,4
Teemu Pukki,4
Christian Pulisic,4
Mads Roerslev,4
Salomón Rondón,4
Joshua Sargent,4
Jamie Shackleton,4
Tomas Soucek,4
Ferran Torres,4
Adam Webster,4
Oleksandr Zinchenko,4
Dele Alli,3
Cédric Soares,3
Joachim Andersen,3
Craig Cathcart,3
Calum Chambers,3
Abdoulaye Doucouré,3
Odsonne Édouard,3
Rúben Dias,3
Ki-Jana Hoever,3
Kelechi Iheanacho,3
João Pedro,3
Joshua King,3
Alexandre Lacazette,3
Aymeric Laporte,3
Aaron Lennon,3
Jesse Lingard,3
Neal Maupay,3
Tyrone Mings,3
Tanguy Ndombele,3
Alex Oxlade-Chamberlain,3
Erik Pieters,3
Jay Rodriguez,3
Raheem Sterling,3
Diogo Jota,3
Brandon Williams,3
Andriy Yarmolenko,3
Patrick Bamford,2
Shandon Baptiste,2
Armando Broja,2
Todd Cantwell,2
Jack Cork,2
Matt Doherty,2
Lewis Dunk,2
Peter Etebo,2
Charlie Goode,2
Kai Havertz,2
Rodri,2
Hwang Hee-Chan,2
Adam Idah,2
Raúl Jiménez,2
Mateo Kovacic,2
Emil Krafth,2
Adam Lallana,2
Imran Louza,2
Ainsley Maitland-Niles,2
Anthony Martial,2
Gabriel Martinelli,2
Enock Mwepu,2
Cole Palmer,2
Marcus Rashford,2
Jairo Riedewald,2
Lukas Rupp,2
Romain Saïss,2
Mohammed Salisu,2
Albert Sambi Lokonga,2
Boubakary Soumaré,2
Crysencio Summerville,2
Fabinho,2
Alex Telles,2
Bertrand Traoré,2
Nikola Vlasic,2
Theo Walcott,2
Joseph Willock,2
Harry Winks,2
Granit Xhaka,2
Che Adams,1
Stuart Armstrong,1
Dan Burn,1
Dominic Calvert-Lewin,1
Edinson Cavani,1
Trevoh Chalobah,1
Ciaran Clark,1
Conor Coady,1
Liam Cooper,1
Fabian Delph,1
Kiernan Dewsbury-Hall,1
Shane Duffy,1
Federico Fernández,1
Marcus Forss,1
Morgan Gibbs-White,1
Bryan Gil,1
Marc Guéhi,1
Pontus Jansson,1
Curtis Jones,1
Ozan Kabak,1
Michael Keane,1
Naby Keïta,1
Maximilian Kilman,1
Ezri Konsa,1
Manuel Lanzini,1
Shane Long,1
Fernandinho,1
Nemanja Matic,1
Ben Mee,1
Yerry Mina,1
Marvelous Nakamba,1
Wilfred Ndidi,1
Christian Nørgaard,1
Ayoze Pérez,1
Jesurun Rak-Sakyi,1
Fred,1
Fabian Schär,1
Jeffrey Schlupp,1
Oliver Skipp,1
Çaglar Söyüncü,1
Nathan Tella,1
Axel Tuanzebe,1
Matej Vydra,1
Callum Wilson,1
Yoane Wissa,1
Chris Wood,1
Kurt Zouma,1
Steven Alzate,0
Ibrahima Diallo,0
Ben Gibson,0