Player,Goals
Mohamed Salah,10
Jamie Vardy,7
Michail Antonio,6
Sadio Mané,6
Raphinha,5
Pierre-Emerick Aubameyang,4
Roberto Firmino,4
Bruno Fernandes,4
Maxwel Cornet,4
Cristiano Ronaldo,4
Pablo Fornals,4
Conor Gallagher,4
Mason Greenwood,4
Hwang Hee-Chan,4
Reece James,4
Neal Maupay,4
Ismaila Sarr,4
Emile Smith Rowe,4
Son Heung-Min,4
Diogo Jota,4
Callum Wilson,4
Wilfried Zaha,4
Saïd Benrahma,3
Dominic Calvert-Lewin,3
Ben Chilwell,3
Emmanuel Dennis,3
Odsonne Édouard,3
Phil Foden,3
Demarai Gray,3
Danny Ings,3
Joshua King,3
Romelu Lukaku,3
Mason Mount,3
Teemu Pukki,3
Youri Tielemans,3
Andros Townsend,3
Leandro Trossard,3
Bernardo Silva,3
Adam Armstrong,2
Christian Benteke,2
Jarrod Bowen,2
Armando Broja,2
Trevoh Chalobah,2
Richarlison,2
Kevin De Bruyne,2
Gabriel Jesus,2
Abdoulaye Doucouré,2
Ilkay Gündogan,2
Kai Havertz,2
Raúl Jiménez,2
Naby Keïta,2
Jesse Lingard,2
Alexis Mac Allister,2
Riyad Mahrez,2
Bryan Mbeumo,2
John McGinn,2
Rodrigo,2
Marcus Rashford,2
Allan Saint-Maximin,2
Ivan Toney,2
Ferran Torres,2
James Ward-Prowse,2
Ollie Watkins,2
Yoane Wissa,2
Chris Wood,2
Che Adams,1
Marc Albrighton,1
Trent Alexander-Arnold,1
Dele Alli,1
Marcos Alonso,1
Luke Ayling,1
Leon Bailey,1
Patrick Bamford,1
Harvey Barnes,1
Emiliano Buendía,1
Sergi Canós,1
Matthew Cash,1
Edinson Cavani,1
Conor Coady,1
Aaron Cresswell,1
Thiago Silva,1
Rúben Neves,1
Patson Daka,1
Tom Davies,1
Gabriel Magalhães,1
Shane Duffy,1
Anwar El Ghazi,1
Mohamed Elyounoussi,1
Jorginho,1
Saman Ghoddos,1
Jack Grealish,1
Kortney Hause,1
Isaac Hayden,1
Jordan Henderson,1
Jeff Hendrick,1
Rico Henry,1
Rodri,1
Cucho Hernández,1
Callum Hudson-Odoi,1
Pierre-Emile Højbjerg,1
Kelechi Iheanacho,1
Alex Iwobi,1
Vitaly Janelt,1
Ben Johnson,1
Curtis Jones,1
Zanka,1
Harry Kane,1
N'Golo Kanté,1
Michael Keane,1
Maximilian Kilman,1
Mateusz Klich,1
Mateo Kovacic,1
Juraj Kucka,1
Alexandre Lacazette,1
Aymeric Laporte,1
Valentino Livramento,1
Diego Llorente,1
Sean Longstaff,1
Matthew Lowton,1
James Maddison,1
Javier Manquillo,1
Anthony Martial,1
Ben Mee,1
Jacob Murphy,1
Enock Mwepu,1
Tanguy Ndombele,1
Mathias Normann,1
Christian Nørgaard,1
Angelo Ogbonna,1
Michael Olise,1
Andrew Omobamidele,1
Divock Origi,1
Thomas Partey,1
Ethan Pinnock,1
Christian Pulisic,1
Jacob Ramsey,1
Declan Rice,1
Fred,1
Antonio Rüdiger,1
Romain Saïss,1
Bukayo Saka,1
Jeffrey Schlupp,1
Tomas Soucek,1
Çaglar Söyüncü,1
Raheem Sterling,1
James Tarkowski,1
Fabinho,1
Matej Vydra,1
Danny Welbeck,1
Timo Werner,1
Kurt Zouma,1
Martin Ødegaard,1
Ademola Lookman,0
Yerry Mina,0
Lucas Moura,0